YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2M_MAX,T2M_MIN,TS,WS10M,WD10M,WS50M,WD50M,PS,PRECTOTCORR,RH2M
1983,2,20,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.33,-1.24,13.92,-0.79,6.29,3.95,232.12,5.51,233.25,97.55,0.0,63.25
1983,2,21,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.34,0.94,17.73,1.85,9.88,3.13,259.62,5.18,261.25,97.2,0.05,58.62
1983,2,22,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.3,3.62,18.48,4.87,11.01,2.67,140.62,4.52,196.69,97.3,0.03,67.25
1983,2,23,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.11,3.7,16.21,2.94,9.86,2.73,63.69,4.12,62.44,97.9,0.02,72.81
1983,2,24,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.29,7.23,12.34,6.89,9.87,2.0,119.19,2.89,121.25,98.26,0.93,87.56
1983,2,25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.09,7.71,15.56,8.26,11.69,1.99,145.06,2.95,148.12,98.19,0.39,81.06
1983,2,26,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.69,7.55,19.18,6.65,11.29,2.51,244.75,3.77,245.69,97.82,0.29,78.12
1983,2,27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.97,7.06,20.45,6.8,13.29,3.56,330.19,5.46,329.25,97.51,0.04,71.69
1983,2,28,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.27,1.63,19.65,3.97,10.58,3.84,246.62,5.49,245.19,97.44,0.01,58.75
1983,3,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.44,2.76,20.68,4.49,11.83,3.22,262.56,4.66,263.38,96.93,0.05,56.19
